shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Mythra,Donkey Kong,Side B,Donkey Kong Side B,-32,32,25,10,6,2,1,10,F Smash,Nair/Fair,Dash Attack/Neutral B,Up B/Shield Grab,Up B/Shield Grab,Nair/Fair,Dash Attack/Neutral B,F Smash,D,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Donkey Kong,Up B (Grounded),Donkey Kong Up B (Grounded),-37,37,25,10,2,1,8,10,F Smash,Jab,No Guaranteed Punish,Up Tilt (Last Frame),Up Tilt (Last Frame),No Guaranteed Punish,F Smash,Jab,C,Move is -37 on shield. F Smash comes out on frame 25.,1.1
Mythra,Donkey Kong,Down B (Grounded),Donkey Kong Down B (Grounded),-15,15,13,5,7,3,1,10,Jab,Dair/Dtilt,No Guaranteed Punish,Nair/Fair,Dair/Dtilt,No Guaranteed Punish,Jab,Nair/Fair,C,Move is -15 on shield. Jab comes out on frame 13.,1.1
Mythra,Donkey Kong,Down B (Landing),Donkey Kong Down B (Landing),-4,4,0,1,2,10,3,10,No Guaranteed Punish,Up B/Shield Grab,Nair/Fair,Dash Attack/Neutral B,Up B/Shield Grab,No Guaranteed Punish,Dash Attack/Neutral B,Nair/Fair,B,Move is -4 on shield. Mythra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Link,Jab (3rd Hit),Link Jab (3rd Hit),-23,23,23,9,10,7,6,10,Up Tilt (Last Frame),Up B/Shield Grab,Ftilt/Down Smash,F Smash,Up B/Shield Grab,F Smash,Ftilt/Down Smash,Up Tilt (Last Frame),D,Move is -23 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Link,Ftilt,Link Ftilt,-12,12,11,4,7,10,9,10,Nair/Fair,Up Tilt (Last Frame),Dash Attack/Neutral B,Ftilt/Down Smash,Up Tilt (Last Frame),Nair/Fair,Dash Attack/Neutral B,Ftilt/Down Smash,B,Move is -12 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Link,Up Tilt,Link Up Tilt,-16,16,16,6,4,1,8,10,Dair/Dtilt,Jab,Up Smash,Dash Attack/Neutral B,Jab,Dash Attack/Neutral B,Dair/Dtilt,Up Smash,C,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Link,Down Tilt,Link Down Tilt,-11,11,11,4,1,9,6,10,Nair/Fair,Jab,Dair/Dtilt,Up Smash,Up Smash,Dair/Dtilt,Jab,Nair/Fair,D,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Link,Dash Attack,Link Dash Attack,-19,19,19,7,2,3,9,10,Ftilt/Down Smash,Dash Attack/Neutral B,No Guaranteed Punish,Jab,Jab,No Guaranteed Punish,Ftilt/Down Smash,Dash Attack/Neutral B,C,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
Mythra,Link,F Smash (1st Hit Hilt),Link F Smash (1st Hit Hilt),-27,27,25,10,6,7,8,10,F Smash,Dair/Dtilt,Up Smash,No Guaranteed Punish,F Smash,No Guaranteed Punish,Up Smash,Dair/Dtilt,A,Move is -27 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,F Smash (1st Hit Tip),Link F Smash (1st Hit Tip),-23,23,23,9,7,2,10,10,Up Tilt (Last Frame),Nair/Fair,F Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),Nair/Fair,F Smash,Dash Attack/Neutral B,A,Move is -23 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Link,F Smash (2nd Hit),Link F Smash (2nd Hit),-41,41,25,10,7,3,6,10,F Smash,No Guaranteed Punish,Up Smash,Dash Attack/Neutral B,F Smash,Up Smash,No Guaranteed Punish,Dash Attack/Neutral B,A,Move is -41 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,Up Smash,Link Up Smash,-28,28,25,10,5,1,6,10,F Smash,Ftilt/Down Smash,No Guaranteed Punish,Dash Attack/Neutral B,F Smash,Dash Attack/Neutral B,No Guaranteed Punish,Ftilt/Down Smash,A,Move is -28 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,Down Smash (1st Hit Middle),Link Down Smash (1st Hit Middle),-31,31,25,10,4,2,7,10,F Smash,Jab,Up Smash,Dair/Dtilt,Dair/Dtilt,Jab,Up Smash,F Smash,D,Move is -31 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,Down Smash (1st Hit Tip),Link Down Smash (1st Hit Tip),-32,32,25,10,7,8,3,10,F Smash,Dash Attack/Neutral B,Jab,Up Smash,F Smash,Jab,Up Smash,Dash Attack/Neutral B,A,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,Down Smash (2nd Hit),Link Down Smash (2nd Hit),-31,31,25,10,6,8,2,10,F Smash,Ftilt/Down Smash,Dair/Dtilt,Nair/Fair,Nair/Fair,Ftilt/Down Smash,F Smash,Dair/Dtilt,C,Move is -31 on shield. F Smash comes out on frame 25.,1.1
Mythra,Link,Side B (Clean Hit),Link Side B (Clean Hit),-7,7,0,1,3,2,10,10,No Guaranteed Punish,Dair/Dtilt,F Smash,Jab,F Smash,Dair/Dtilt,No Guaranteed Punish,Jab,C,Move is -7 on shield. Mythra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Link,Up B,Link Up B,-56,56,25,10,6,7,4,10,F Smash,No Guaranteed Punish,Jab,Nair/Fair,No Guaranteed Punish,F Smash,Jab,Nair/Fair,B,Move is -56 on shield. F Smash comes out on frame 25.,1.1
Mythra,Samus,Jab (2nd Hit),Samus Jab (2nd Hit),-15,15,13,5,2,7,9,10,Jab,Up Smash,Ftilt/Down Smash,No Guaranteed Punish,Jab,Ftilt/Down Smash,Up Smash,No Guaranteed Punish,A,Move is -15 on shield. Jab comes out on frame 13.,1.1
Mythra,Samus,Ftilt (Close Hit),Samus Ftilt (Close Hit),-17,17,16,6,10,9,3,10,Dair/Dtilt,Jab,Ftilt/Down Smash,Dash Attack/Neutral B,Dash Attack/Neutral B,Ftilt/Down Smash,Dair/Dtilt,Jab,C,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Samus,Ftilt (Middle Hit),Samus Ftilt (Middle Hit),-16,16,16,6,2,7,8,10,Dair/Dtilt,Up Tilt (Last Frame),Up Smash,Dash Attack/Neutral B,Dash Attack/Neutral B,Up Smash,Up Tilt (Last Frame),Dair/Dtilt,D,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Samus,Ftilt (Far Hit),Samus Ftilt (Far Hit),-15,15,13,5,10,9,7,10,Jab,F Smash,Up Smash,Ftilt/Down Smash,Ftilt/Down Smash,F Smash,Jab,Up Smash,C,Move is -15 on shield. Jab comes out on frame 13.,1.1
Mythra,Samus,Up Tilt,Samus Up Tilt,-12,12,11,4,9,5,10,10,Nair/Fair,Up B/Shield Grab,Jab,No Guaranteed Punish,No Guaranteed Punish,Nair/Fair,Jab,Up B/Shield Grab,B,Move is -12 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Samus,Down Tilt,Samus Down Tilt,-26,26,25,10,4,8,5,10,F Smash,No Guaranteed Punish,Dair/Dtilt,Dash Attack/Neutral B,F Smash,No Guaranteed Punish,Dash Attack/Neutral B,Dair/Dtilt,A,Move is -26 on shield. F Smash comes out on frame 25.,1.1
Mythra,Samus,Dash Attack,Samus Dash Attack,-23,23,23,9,2,3,4,10,Up Tilt (Last Frame),F Smash,No Guaranteed Punish,Dair/Dtilt,F Smash,Up Tilt (Last Frame),No Guaranteed Punish,Dair/Dtilt,B,Move is -23 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Samus,F Smash (Close Hit),Samus F Smash (Close Hit),-29,29,25,10,7,3,4,10,F Smash,Ftilt/Down Smash,Jab,Dash Attack/Neutral B,Ftilt/Down Smash,Jab,Dash Attack/Neutral B,F Smash,D,Move is -29 on shield. F Smash comes out on frame 25.,1.1
Mythra,Samus,F Smash (Far Hit),Samus F Smash (Far Hit),-28,28,25,10,2,1,7,10,F Smash,Nair/Fair,Up B/Shield Grab,Up Smash,Up B/Shield Grab,Up Smash,Nair/Fair,F Smash,D,Move is -28 on shield. F Smash comes out on frame 25.,1.1
Mythra,Samus,Up Smash,Samus Up Smash,-24,24,23,9,7,2,10,10,Up Tilt (Last Frame),Jab,Dash Attack/Neutral B,Ftilt/Down Smash,Up Tilt (Last Frame),Jab,Dash Attack/Neutral B,Ftilt/Down Smash,A,Move is -24 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Samus,Down Smash (1st Hit),Samus Down Smash (1st Hit),-27,27,25,10,2,5,3,10,F Smash,Up Smash,Jab,Dash Attack/Neutral B,Jab,Up Smash,Dash Attack/Neutral B,F Smash,D,Move is -27 on shield. F Smash comes out on frame 25.,1.1
Mythra,Samus,Down Smash (2nd Hit),Samus Down Smash (2nd Hit),-18,18,16,6,1,8,2,10,Dair/Dtilt,Ftilt/Down Smash,Up Smash,Nair/Fair,Up Smash,Nair/Fair,Ftilt/Down Smash,Dair/Dtilt,D,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Yoshi,Jab (2nd Hit),Yoshi Jab (2nd Hit),-11,11,11,4,1,9,6,10,Nair/Fair,Dash Attack/Neutral B,Up Smash,No Guaranteed Punish,Up Smash,Nair/Fair,Dash Attack/Neutral B,No Guaranteed Punish,B,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Yoshi,Ftilt,Yoshi Ftilt,-16,16,16,6,4,3,9,10,Dair/Dtilt,No Guaranteed Punish,Up Tilt (Last Frame),Nair/Fair,Dair/Dtilt,Up Tilt (Last Frame),Nair/Fair,No Guaranteed Punish,A,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Yoshi,Up Tilt,Yoshi Up Tilt,-16,16,16,6,2,4,9,10,Dair/Dtilt,Up Smash,Nair/Fair,No Guaranteed Punish,Nair/Fair,Dair/Dtilt,Up Smash,No Guaranteed Punish,B,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Yoshi,Down Tilt (Close Hit),Yoshi Down Tilt (Close Hit),-9,9,9,2,5,9,4,10,Up Smash,Dair/Dtilt,Dash Attack/Neutral B,Ftilt/Down Smash,Dash Attack/Neutral B,Ftilt/Down Smash,Up Smash,Dair/Dtilt,C,Move is -9 on shield. Up Smash comes out on frame 9.,1.1
Mythra,Yoshi,Down Tilt (Far Hit),Yoshi Down Tilt (Far Hit),-10,10,10,3,6,7,4,10,Up B/Shield Grab,Up Smash,Dash Attack/Neutral B,Nair/Fair,Nair/Fair,Up Smash,Up B/Shield Grab,Dash Attack/Neutral B,C,Move is -10 on shield. Up B/Shield Grab comes out on frame 10.,1.1
Mythra,Yoshi,Dash Attack,Yoshi Dash Attack,-19,19,19,7,10,9,5,10,Ftilt/Down Smash,Up Tilt (Last Frame),F Smash,Dash Attack/Neutral B,Dash Attack/Neutral B,Ftilt/Down Smash,Up Tilt (Last Frame),F Smash,B,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
Mythra,Yoshi,F Smash,Yoshi F Smash,-27,27,25,10,5,7,6,10,F Smash,Up Smash,Up Tilt (Last Frame),Dash Attack/Neutral B,F Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),Up Smash,A,Move is -27 on shield. F Smash comes out on frame 25.,1.1
Mythra,Yoshi,Up Smash,Yoshi Up Smash,-24,24,23,9,5,3,4,10,Up Tilt (Last Frame),Dair/Dtilt,Ftilt/Down Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),Ftilt/Down Smash,Dair/Dtilt,Dash Attack/Neutral B,A,Move is -24 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Yoshi,Down Smash (1st Hit),Yoshi Down Smash (1st Hit),-33,33,25,10,4,5,3,10,F Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),Up Smash,F Smash,Up Tilt (Last Frame),Up Smash,Dash Attack/Neutral B,A,Move is -33 on shield. F Smash comes out on frame 25.,1.1
Mythra,Yoshi,Down Smash (2nd Hit),Yoshi Down Smash (2nd Hit),-18,18,16,6,2,3,1,10,Dair/Dtilt,Up Smash,F Smash,Up B/Shield Grab,F Smash,Up B/Shield Grab,Up Smash,Dair/Dtilt,D,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Yoshi,Down B,Yoshi Down B,-32,32,25,10,1,2,7,10,F Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),Up B/Shield Grab,F Smash,Dash Attack/Neutral B,Up B/Shield Grab,Up Tilt (Last Frame),A,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Kirby,Jab (Rapid Jab Finisher),Kirby Jab (Rapid Jab Finisher),-32,32,25,10,4,3,5,10,F Smash,Dash Attack/Neutral B,Up Tilt (Last Frame),No Guaranteed Punish,Dash Attack/Neutral B,Up Tilt (Last Frame),No Guaranteed Punish,F Smash,D,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Kirby,Ftilt (Close Hit),Kirby Ftilt (Close Hit),-10,10,10,3,4,8,7,10,Up B/Shield Grab,Jab,Up Smash,Dair/Dtilt,Jab,Up Smash,Dair/Dtilt,Up B/Shield Grab,D,Move is -10 on shield. Up B/Shield Grab comes out on frame 10.,1.1
Mythra,Kirby,Ftilt (Far Hit),Kirby Ftilt (Far Hit),-11,11,11,4,6,7,5,10,Nair/Fair,Up Smash,Dash Attack/Neutral B,Up B/Shield Grab,Up Smash,Dash Attack/Neutral B,Nair/Fair,Up B/Shield Grab,C,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Kirby,Up Tilt (Early Hit),Kirby Up Tilt (Early Hit),-10,10,10,3,7,9,4,10,Up B/Shield Grab,No Guaranteed Punish,Nair/Fair,Jab,Up B/Shield Grab,Nair/Fair,No Guaranteed Punish,Jab,A,Move is -10 on shield. Up B/Shield Grab comes out on frame 10.,1.1
Mythra,Kirby,Up Tilt (Late Hit),Kirby Up Tilt (Late Hit),-9,9,9,2,8,3,1,10,Up Smash,Jab,No Guaranteed Punish,Ftilt/Down Smash,Jab,No Guaranteed Punish,Up Smash,Ftilt/Down Smash,C,Move is -9 on shield. Up Smash comes out on frame 9.,1.1
Mythra,Kirby,Down Tilt,Kirby Down Tilt,-9,9,9,2,10,7,6,10,Up Smash,Ftilt/Down Smash,No Guaranteed Punish,Up Tilt (Last Frame),No Guaranteed Punish,Up Smash,Ftilt/Down Smash,Up Tilt (Last Frame),B,Move is -9 on shield. Up Smash comes out on frame 9.,1.1
Mythra,Kirby,Dash Attack,Kirby Dash Attack,-31,31,25,10,3,8,7,10,F Smash,Up B/Shield Grab,Dair/Dtilt,Ftilt/Down Smash,Up B/Shield Grab,F Smash,Ftilt/Down Smash,Dair/Dtilt,B,Move is -31 on shield. F Smash comes out on frame 25.,1.1
Mythra,Kirby,F Smash,Kirby F Smash,-23,23,23,9,4,5,6,10,Up Tilt (Last Frame),F Smash,No Guaranteed Punish,Up Smash,Up Smash,F Smash,No Guaranteed Punish,Up Tilt (Last Frame),D,Move is -23 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Kirby,Up Smash (Close Hit),Kirby Up Smash (Close Hit),-22,22,20,8,2,9,4,10,Dash Attack/Neutral B,Up Tilt (Last Frame),F Smash,Nair/Fair,Nair/Fair,Dash Attack/Neutral B,Up Tilt (Last Frame),F Smash,B,Move is -22 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Kirby,Up Smash (Tip Hit),Kirby Up Smash (Tip Hit),-24,24,23,9,10,2,6,10,Up Tilt (Last Frame),Ftilt/Down Smash,F Smash,Dair/Dtilt,Up Tilt (Last Frame),Ftilt/Down Smash,Dair/Dtilt,F Smash,A,Move is -24 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Kirby,Down Smash,Kirby Down Smash,-33,33,25,10,2,8,4,10,F Smash,Up Tilt (Last Frame),Up Smash,Nair/Fair,Nair/Fair,F Smash,Up Smash,Up Tilt (Last Frame),B,Move is -33 on shield. F Smash comes out on frame 25.,1.1
Mythra,Kirby,Side B (Full Charge),Kirby Side B (Full Charge),-17,17,16,6,9,3,4,10,Dair/Dtilt,F Smash,Ftilt/Down Smash,Up B/Shield Grab,F Smash,Ftilt/Down Smash,Up B/Shield Grab,Dair/Dtilt,D,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Kirby,Up B (Landing Hit),Kirby Up B (Landing Hit),-21,21,20,8,9,2,3,10,Dash Attack/Neutral B,Up Smash,Dair/Dtilt,No Guaranteed Punish,No Guaranteed Punish,Dash Attack/Neutral B,Dair/Dtilt,Up Smash,B,Move is -21 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Kirby,Down B (Ground),Kirby Down B (Ground),-35,35,25,10,6,1,5,10,F Smash,Dash Attack/Neutral B,Up B/Shield Grab,Nair/Fair,F Smash,Dash Attack/Neutral B,Nair/Fair,Up B/Shield Grab,A,Move is -35 on shield. F Smash comes out on frame 25.,1.1
Mythra,Kirby,Down B (Air),Kirby Down B (Air),-17,17,16,6,4,10,7,10,Dair/Dtilt,Jab,Dash Attack/Neutral B,Up B/Shield Grab,Up B/Shield Grab,Dair/Dtilt,Jab,Dash Attack/Neutral B,B,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Fox,Jab (Rapid Jab Finisher),Fox Jab (Rapid Jab Finisher),-32,32,25,10,6,1,7,10,F Smash,No Guaranteed Punish,Dash Attack/Neutral B,Up Smash,Up Smash,Dash Attack/Neutral B,F Smash,No Guaranteed Punish,C,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Fox,Ftilt,Fox Ftilt,-10,10,10,3,10,1,8,10,Up B/Shield Grab,F Smash,Dash Attack/Neutral B,Ftilt/Down Smash,Dash Attack/Neutral B,F Smash,Up B/Shield Grab,Ftilt/Down Smash,C,Move is -10 on shield. Up B/Shield Grab comes out on frame 10.,1.1
Mythra,Fox,Up Tilt (Clean Hit),Fox Up Tilt (Clean Hit),-17,17,16,6,8,9,1,10,Dair/Dtilt,Ftilt/Down Smash,Up Tilt (Last Frame),Dash Attack/Neutral B,Dair/Dtilt,Ftilt/Down Smash,Up Tilt (Last Frame),Dash Attack/Neutral B,A,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Fox,Up Tilt (Late Hit),Fox Up Tilt (Late Hit),-16,16,16,6,8,3,7,10,Dair/Dtilt,Jab,Nair/Fair,Up Tilt (Last Frame),Up Tilt (Last Frame),Nair/Fair,Jab,Dair/Dtilt,D,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Fox,Down Tilt (Close Hit),Fox Down Tilt (Close Hit),-12,12,11,4,2,1,9,10,Nair/Fair,Up B/Shield Grab,No Guaranteed Punish,Ftilt/Down Smash,Up B/Shield Grab,No Guaranteed Punish,Nair/Fair,Ftilt/Down Smash,C,Move is -12 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Fox,Down Tilt (Far Hit),Fox Down Tilt (Far Hit),-13,13,13,5,3,8,7,10,Jab,Dash Attack/Neutral B,F Smash,No Guaranteed Punish,Jab,Dash Attack/Neutral B,No Guaranteed Punish,F Smash,A,Move is -13 on shield. Jab comes out on frame 13.,1.1
Mythra,Fox,Dash Attack,Fox Dash Attack,-16,16,16,6,8,9,10,10,Dair/Dtilt,Ftilt/Down Smash,No Guaranteed Punish,Up Smash,Dair/Dtilt,No Guaranteed Punish,Up Smash,Ftilt/Down Smash,A,Move is -16 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Fox,F Smash,Fox F Smash,-22,22,20,8,10,3,6,10,Dash Attack/Neutral B,F Smash,Up Smash,Dair/Dtilt,F Smash,Dair/Dtilt,Dash Attack/Neutral B,Up Smash,C,Move is -22 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Fox,Up Smash,Fox Up Smash,-36,36,25,10,7,4,5,10,F Smash,Dash Attack/Neutral B,Nair/Fair,Jab,Jab,F Smash,Nair/Fair,Dash Attack/Neutral B,B,Move is -36 on shield. F Smash comes out on frame 25.,1.1
Mythra,Fox,Down Smash,Fox Down Smash,-36,36,25,10,4,2,5,10,F Smash,Jab,Dair/Dtilt,Dash Attack/Neutral B,Dair/Dtilt,Dash Attack/Neutral B,F Smash,Jab,C,Move is -36 on shield. F Smash comes out on frame 25.,1.1
Mythra,Fox,Side B (Ground),Fox Side B (Ground),-18,18,16,6,4,10,3,10,Dair/Dtilt,Up B/Shield Grab,Nair/Fair,Up Smash,Up B/Shield Grab,Dair/Dtilt,Up Smash,Nair/Fair,B,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Fox,Side B (Air),Fox Side B (Air),-28,28,25,10,1,5,8,10,F Smash,Up Smash,Dair/Dtilt,Up Tilt (Last Frame),Up Smash,F Smash,Up Tilt (Last Frame),Dair/Dtilt,B,Move is -28 on shield. F Smash comes out on frame 25.,1.1
Mythra,Fox,Up B,Fox Up B,-34,34,25,10,2,3,5,10,F Smash,Up B/Shield Grab,No Guaranteed Punish,Nair/Fair,Nair/Fair,No Guaranteed Punish,Up B/Shield Grab,F Smash,D,Move is -34 on shield. F Smash comes out on frame 25.,1.1
Mythra,Fox,Down B,Fox Down B,-30,30,25,10,6,4,8,10,F Smash,Jab,Up Tilt (Last Frame),Up Smash,F Smash,Jab,Up Smash,Up Tilt (Last Frame),A,Move is -30 on shield. F Smash comes out on frame 25.,1.1
Mythra,Pikachu,Ftilt (No Angle),Pikachu Ftilt (No Angle),-14,14,13,5,2,1,6,10,Jab,Nair/Fair,Dash Attack/Neutral B,Up B/Shield Grab,Up B/Shield Grab,Nair/Fair,Jab,Dash Attack/Neutral B,C,Move is -14 on shield. Jab comes out on frame 13.,1.1
Mythra,Pikachu,Up Tilt,Pikachu Up Tilt,-13,13,13,5,3,6,1,10,Jab,Up B/Shield Grab,Nair/Fair,F Smash,Jab,Up B/Shield Grab,Nair/Fair,F Smash,A,Move is -13 on shield. Jab comes out on frame 13.,1.1
Mythra,Pikachu,Down Tilt,Pikachu Down Tilt,-4,4,0,1,9,6,8,10,No Guaranteed Punish,F Smash,Jab,Up Tilt (Last Frame),No Guaranteed Punish,Up Tilt (Last Frame),F Smash,Jab,A,Move is -4 on shield. Mythra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Pikachu,Dash Attack,Pikachu Dash Attack,-11,11,11,4,7,2,8,10,Nair/Fair,Dash Attack/Neutral B,Up Tilt (Last Frame),Ftilt/Down Smash,Ftilt/Down Smash,Nair/Fair,Dash Attack/Neutral B,Up Tilt (Last Frame),B,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Pikachu,F Smash,Pikachu F Smash,-29,29,25,10,3,8,2,10,F Smash,Up B/Shield Grab,Ftilt/Down Smash,Dash Attack/Neutral B,Dash Attack/Neutral B,Up B/Shield Grab,F Smash,Ftilt/Down Smash,C,Move is -29 on shield. F Smash comes out on frame 25.,1.1
Mythra,Pikachu,Up Smash,Pikachu Up Smash,-24,24,23,9,7,1,6,10,Up Tilt (Last Frame),Dash Attack/Neutral B,Jab,No Guaranteed Punish,No Guaranteed Punish,Up Tilt (Last Frame),Dash Attack/Neutral B,Jab,B,Move is -24 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Pikachu,Down Smash,Pikachu Down Smash,-39,39,25,10,2,3,4,10,F Smash,Dair/Dtilt,No Guaranteed Punish,Up Smash,Up Smash,Dair/Dtilt,No Guaranteed Punish,F Smash,D,Move is -39 on shield. F Smash comes out on frame 25.,1.1
Mythra,Pikachu,Up B,Pikachu Up B,-33,33,25,10,5,3,7,10,F Smash,Dair/Dtilt,Up Smash,Up Tilt (Last Frame),F Smash,Dair/Dtilt,Up Tilt (Last Frame),Up Smash,A,Move is -33 on shield. F Smash comes out on frame 25.,1.1
Mythra,Pikachu,Down B,Pikachu Down B,-26,26,25,10,4,7,1,10,F Smash,Dair/Dtilt,Up Tilt (Last Frame),Jab,Jab,Dair/Dtilt,F Smash,Up Tilt (Last Frame),C,Move is -26 on shield. F Smash comes out on frame 25.,1.1
Mythra,Luigi,Jab (3rd Hit),Luigi Jab (3rd Hit),-19,19,19,7,4,1,3,10,Ftilt/Down Smash,Dash Attack/Neutral B,Jab,Up Smash,Jab,Dash Attack/Neutral B,Up Smash,Ftilt/Down Smash,D,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
Mythra,Luigi,Ftilt,Luigi Ftilt,-18,18,16,6,10,7,4,10,Dair/Dtilt,Jab,F Smash,Nair/Fair,Nair/Fair,Dair/Dtilt,F Smash,Jab,B,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Luigi,Up Tilt,Luigi Up Tilt,-15,15,13,5,1,6,8,10,Jab,Up Tilt (Last Frame),No Guaranteed Punish,Up B/Shield Grab,No Guaranteed Punish,Jab,Up Tilt (Last Frame),Up B/Shield Grab,B,Move is -15 on shield. Jab comes out on frame 13.,1.1
Mythra,Luigi,Down Tilt,Luigi Down Tilt,-2,2,0,1,2,5,9,10,No Guaranteed Punish,Up Tilt (Last Frame),Dair/Dtilt,Up Smash,No Guaranteed Punish,Up Smash,Dair/Dtilt,Up Tilt (Last Frame),A,Move is -2 on shield. Mythra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Luigi,Dash Attack,Luigi Dash Attack,-17,17,16,6,2,4,3,10,Dair/Dtilt,Up B/Shield Grab,Dash Attack/Neutral B,Jab,Jab,Dair/Dtilt,Up B/Shield Grab,Dash Attack/Neutral B,B,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Luigi,F Smash,Luigi F Smash,-18,18,16,6,9,10,7,10,Dair/Dtilt,Jab,Up B/Shield Grab,Up Smash,Jab,Up Smash,Dair/Dtilt,Up B/Shield Grab,C,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Luigi,Up Smash,Luigi Up Smash,-20,20,20,8,10,5,1,10,Dash Attack/Neutral B,No Guaranteed Punish,Up Tilt (Last Frame),F Smash,Dash Attack/Neutral B,No Guaranteed Punish,F Smash,Up Tilt (Last Frame),A,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Luigi,Down Smash (Close Hit),Luigi Down Smash (Close Hit),-20,20,20,8,4,2,9,10,Dash Attack/Neutral B,Dair/Dtilt,Nair/Fair,Up B/Shield Grab,Dair/Dtilt,Nair/Fair,Up B/Shield Grab,Dash Attack/Neutral B,D,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Luigi,Down Smash (Far Hit),Luigi Down Smash (Far Hit),-12,12,11,4,7,2,6,10,Nair/Fair,Jab,No Guaranteed Punish,Up Tilt (Last Frame),No Guaranteed Punish,Jab,Nair/Fair,Up Tilt (Last Frame),C,Move is -12 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Luigi,Down B,Luigi Down B,-40,40,25,10,1,4,8,10,F Smash,Ftilt/Down Smash,Up Smash,Nair/Fair,F Smash,Ftilt/Down Smash,Up Smash,Nair/Fair,A,Move is -40 on shield. F Smash comes out on frame 25.,1.1
